
> hospital-dashboard@0.1.0 dev
> next dev --webpack

▲ Next.js 16.1.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://172.21.96.1:3000
- Environments: .env

✓ Starting...
✓ Ready in 8.4s
○ Compiling / ...
 GET /api/products 200 in 270ms (compile: 4ms, proxy.ts: 16ms, render: 251ms)
 GET /sales 200 in 49ms (compile: 13ms, proxy.ts: 7ms, render: 29ms)
 GET /api/products 200 in 424ms (compile: 3ms, proxy.ts: 8ms, render: 412ms)
 GET /api/sales 200 in 2.1s (compile: 1974ms, proxy.ts: 9ms, render: 73ms)
 GET /api/sales 200 in 60ms (compile: 5ms, proxy.ts: 21ms, render: 34ms)
 GET /api/products 200 in 489ms (compile: 11ms, proxy.ts: 234ms, render: 244ms)
 GET /purchases 200 in 1522ms (compile: 1452ms, proxy.ts: 9ms, render: 61ms)
 GET /api/purchases 200 in 3.6s (compile: 3.5s, proxy.ts: 28ms, render: 50ms)
 GET /api/products/aliases 200 in 3.6s (compile: 3.5s, proxy.ts: 29ms, render: 55ms)
 GET /api/suppliers 200 in 3.6s (compile: 3.5s, proxy.ts: 21ms, render: 58ms)
 GET /api/purchases 200 in 32ms (compile: 6ms, proxy.ts: 13ms, render: 14ms)
 GET /api/products/aliases 200 in 35ms (compile: 9ms, proxy.ts: 13ms, render: 12ms)
 GET /api/suppliers 200 in 37ms (compile: 13ms, proxy.ts: 14ms, render: 9ms)
 GET /api/products 200 in 3.8s (compile: 3.5s, proxy.ts: 23ms, render: 283ms)
 GET /api/products 200 in 294ms (compile: 3ms, proxy.ts: 7ms, render: 284ms)
 GET /stock 200 in 1389ms (compile: 1330ms, proxy.ts: 6ms, render: 52ms)
 GET /api/products 200 in 3.7s (compile: 3.2s, proxy.ts: 10ms, render: 494ms)
 GET /api/batches 404 in 3.7s (compile: 3.5s, proxy.ts: 8ms, render: 261ms)
 GET /api/batches 404 in 114ms (compile: 22ms, proxy.ts: 14ms, render: 78ms)
 GET /api/products 200 in 318ms (compile: 14ms, proxy.ts: 13ms, render: 292ms)
 GET /finance 200 in 3.1s (compile: 3.0s, proxy.ts: 10ms, render: 65ms)
 GET /api/finance 200 in 746ms (compile: 720ms, proxy.ts: 7ms, render: 18ms)
 GET /api/finance 200 in 26ms (compile: 6ms, proxy.ts: 11ms, render: 9ms)
 GET /reports 200 in 1946ms (compile: 1880ms, proxy.ts: 8ms, render: 58ms)
 GET /api/reports 200 in 4.4s (compile: 4.1s, proxy.ts: 24ms, render: 234ms)
 GET /api/batches 404 in 4.4s (compile: 4.2s, proxy.ts: 20ms, render: 188ms)
 GET /api/reports 200 in 123ms (compile: 9ms, proxy.ts: 15ms, render: 98ms)
 GET /api/batches 404 in 128ms (compile: 16ms, proxy.ts: 16ms, render: 96ms)
 GET /api/products 200 in 4.6s (compile: 4.1s, proxy.ts: 23ms, render: 489ms)
 GET /api/products 200 in 284ms (compile: 4ms, proxy.ts: 6ms, render: 273ms)
 GET /suppliers 200 in 1871ms (compile: 1790ms, proxy.ts: 15ms, render: 67ms)
 GET /api/suppliers 200 in 831ms (compile: 795ms, proxy.ts: 10ms, render: 25ms)
 GET /api/suppliers 200 in 20ms (compile: 4ms, proxy.ts: 6ms, render: 9ms)
 GET /invoices 200 in 1618ms (compile: 1565ms, proxy.ts: 6ms, render: 46ms)
 GET /api/invoices 200 in 2.9s (compile: 2.9s, proxy.ts: 6ms, render: 40ms)
 GET /api/invoices 200 in 63ms (compile: 3ms, proxy.ts: 15ms, render: 45ms)
 GET / 200 in 1468ms (compile: 1406ms, proxy.ts: 6ms, render: 55ms)
 GET /api/dashboard 200 in 4.0s (compile: 3.9s, proxy.ts: 26ms, render: 39ms)
 GET /api/dashboard 200 in 21ms (compile: 3ms, proxy.ts: 6ms, render: 12ms)
 GET /api/products 200 in 4.3s (compile: 3.9s, proxy.ts: 27ms, render: 288ms)
 GET /api/products 200 in 274ms (compile: 4ms, proxy.ts: 8ms, render: 262ms)
 GET /api/auth/csrf 200 in 1089ms (compile: 1056ms, proxy.ts: 7ms, render: 26ms)
 POST /api/auth/signout 200 in 30ms (compile: 6ms, proxy.ts: 6ms, render: 18ms)
 GET /login 200 in 1021ms (compile: 786ms, proxy.ts: 9ms, render: 226ms)
 GET /api/auth/session 200 in 104ms (compile: 61ms, proxy.ts: 8ms, render: 35ms)
 GET /api/auth/providers 200 in 49ms (compile: 11ms, proxy.ts: 10ms, render: 29ms)
 GET /api/auth/csrf 200 in 40ms (compile: 7ms, proxy.ts: 7ms, render: 25ms)
 POST /api/auth/callback/credentials 401 in 70ms (compile: 5ms, proxy.ts: 12ms, render: 54ms)
 GET /api/auth/providers 200 in 38ms (compile: 14ms, proxy.ts: 5ms, render: 18ms)
 GET /api/auth/csrf 200 in 42ms (compile: 6ms, proxy.ts: 9ms, render: 27ms)
 POST /api/auth/callback/credentials 200 in 89ms (compile: 5ms, proxy.ts: 8ms, render: 76ms)
 GET /api/auth/session 200 in 48ms (compile: 6ms, proxy.ts: 8ms, render: 34ms)
 GET /sales 200 in 1386ms (compile: 1140ms, proxy.ts: 7ms, render: 239ms)
 GET /api/auth/session 200 in 470ms (compile: 385ms, proxy.ts: 16ms, render: 69ms)
 GET /api/products 200 in 839ms (compile: 311ms, proxy.ts: 19ms, render: 510ms)
 GET /api/sales 200 in 3.3s (compile: 3.3s, proxy.ts: 21ms, render: 27ms)
 GET /api/sales 200 in 60ms (compile: 3ms, proxy.ts: 22ms, render: 35ms)
 GET /api/products 200 in 361ms (compile: 8ms, proxy.ts: 117ms, render: 236ms)
 GET /invoices 200 in 82ms (compile: 45ms, proxy.ts: 6ms, render: 30ms)
 GET /api/invoices 200 in 978ms (compile: 947ms, proxy.ts: 8ms, render: 23ms)
 GET /api/invoices 200 in 44ms (compile: 4ms, proxy.ts: 6ms, render: 34ms)
 GET /sales 200 in 93ms (compile: 53ms, proxy.ts: 8ms, render: 31ms)
 GET /api/sales 200 in 53ms (compile: 10ms, proxy.ts: 11ms, render: 31ms)
 GET /api/sales 200 in 37ms (compile: 3ms, proxy.ts: 8ms, render: 27ms)
 GET /api/products 200 in 270ms (compile: 20ms, proxy.ts: 13ms, render: 237ms)
 GET /api/products 200 in 292ms (compile: 4ms, proxy.ts: 12ms, render: 277ms)
 GET /api/auth/session 200 in 104ms (compile: 35ms, proxy.ts: 30ms, render: 39ms)
 GET /api/auth/session 200 in 60ms (compile: 13ms, proxy.ts: 6ms, render: 41ms)
 GET /api/auth/session 200 in 49ms (compile: 14ms, proxy.ts: 6ms, render: 29ms)
 GET /api/auth/session 200 in 63ms (compile: 17ms, proxy.ts: 11ms, render: 35ms)
