
> hospital-dashboard@0.1.0 dev
> next dev --webpack

▲ Next.js 16.1.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://172.22.64.1:3000
- Environments: .env

✓ Starting...
✓ Ready in 19.7s
○ Compiling /login ...
 POST /api/products/suppliers 200 in 977ms (compile: 44ms, proxy.ts: 54ms, render: 879ms)
 POST /api/products/suppliers 200 in 2.5s (compile: 19ms, proxy.ts: 33ms, render: 2.4s)
 GET /purchases 200 in 125ms (compile: 27ms, proxy.ts: 79ms, render: 19ms)
 GET /purchases 200 in 30ms (compile: 6ms, proxy.ts: 5ms, render: 20ms)
 GET /purchases 200 in 33ms (compile: 3ms, proxy.ts: 7ms, render: 23ms)
 GET /purchases 200 in 38ms (compile: 5ms, proxy.ts: 10ms, render: 23ms)
 GET /purchases 200 in 27ms (compile: 6ms, proxy.ts: 7ms, render: 14ms)
 GET /api/suppliers 200 in 37ms (compile: 7ms, proxy.ts: 9ms, render: 21ms)
 GET /api/products/aliases 200 in 40ms (compile: 15ms, proxy.ts: 10ms, render: 15ms)
 GET /api/purchases 200 in 43ms (compile: 21ms, proxy.ts: 10ms, render: 12ms)
 GET /api/suppliers 200 in 32ms (compile: 7ms, proxy.ts: 9ms, render: 16ms)
 GET /api/products/aliases 200 in 34ms (compile: 11ms, proxy.ts: 10ms, render: 14ms)
 GET /api/purchases 200 in 36ms (compile: 17ms, proxy.ts: 10ms, render: 9ms)
 GET /api/products 200 in 547ms (compile: 11ms, proxy.ts: 10ms, render: 527ms)
 PATCH /api/products/3345 200 in 686ms (compile: 36ms, proxy.ts: 9ms, render: 642ms)
 GET /api/products 200 in 562ms (compile: 38ms, proxy.ts: 68ms, render: 455ms)
 GET /purchases 200 in 27ms (compile: 4ms, proxy.ts: 5ms, render: 18ms)
 GET /purchases 200 in 27ms (compile: 5ms, proxy.ts: 6ms, render: 17ms)
 PATCH /api/products/3387 200 in 821ms (compile: 10ms, proxy.ts: 7ms, render: 804ms)
 GET /purchases 200 in 25ms (compile: 5ms, proxy.ts: 5ms, render: 15ms)
 GET /api/auth/session 200 in 48ms (compile: 12ms, proxy.ts: 5ms, render: 32ms)
 GET /purchases 200 in 32ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /purchases 200 in 94ms (compile: 4ms, proxy.ts: 8ms, render: 82ms)
 PATCH /api/products/3391 200 in 936ms (compile: 13ms, proxy.ts: 55ms, render: 868ms)
 GET /purchases 200 in 545ms (compile: 54ms, proxy.ts: 372ms, render: 119ms)
 PATCH /api/products/1379 200 in 1370ms (compile: 50ms, proxy.ts: 371ms, render: 950ms)
○ Compiling /_error ...
